Product,SKU,Contact ID,Invoice No.,Date,Quantity,Unit Price,Discount,Tax,Price inc. tax,Total
Old layers,179,CO0029,11716,01/01/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Cow Beef/Kg,232,CO0029,11716,01/01/2021,1 Kg,2500,0,0.0000(),2500,2500
Turkey,160,CO0838,11717,01/01/2021,2.5 Kg,2000,0,0.0000(),2000,5000
Chicken Wings,158,CO0577,11718,01/01/2021,1 Kg,1900,0,0.0000(),1900,1900
Titus,161,CO0577,11718,01/01/2021,0.9 Kg,1300,0,0.0000(),1300,1170
Sausage,170,CO0577,11718,01/01/2021,1 Pk(s),600,0,0.0000(),600,600
Sausage,170,CO0001,11719,01/01/2021,1 Pk(s),600,0,0.0000(),600,600
Nigerian Soft chicken,156,CO0001,11720,01/01/2021,2 Kg,1600,0,0.0000(),1600,3200
Old layers,179,CO0001,11721,01/01/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Smoked Oldlayers,205,CO0249,11733,01/02/2021,4 Pc(s),2400,0,0.0000(),2400,9600
Nigerian Soft chicken,156,CO0598,11736,01/02/2021,6.95 Kg,1600,0,0.0000(),1600,11120
Smoked Oldlayers,205,CO0234,11737,01/02/2021,2 Pc(s),2400,0,0.0000(),2400,4800
Ponmo,175,CO0257,11738,01/02/2021,1 Pk(s),500,0,0.0000(),500,500
Panla,162,CO0345,11739,01/02/2021,2.4 Kg,1000,0,0.0000(),1000,2400
Ofada Rice,177,CO0345,11739,01/02/2021,1 Kg,1000,0,0.0000(),1000,1000
Goatmeat - One-Eight,188,CO0001,11743,01/02/2021,1 Pk(s),3000,0,0.0000(),3000,3000
Panla,162,CO1153,11740,01/02/2021,2.5 Kg,1000,0,0.0000(),1000,2500
Old layers,179,CO0001,11741,01/02/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Croaker,165,CO1181,11742,01/02/2021,1.65 Kg,1300,0,0.0000(),1300,2145
Croaker,165,CO0150,11735,01/02/2021,10 Kg,1300,0,0.0000(),1300,13000
Kote,164,CO0001,11744,01/02/2021,1.1 Kg,1000,0,0.0000(),1000,1100
Turkey,160,CO1153,11740,01/02/2021,6 Kg,2000,0,0.0000(),2000,12000
Nigerian Soft chicken,156,CO0150,11735,01/02/2021,5 Kg,1600,0,0.0000(),1600,8000
Panla,162,CO0001,11731,01/02/2021,1.7 Kg,1000,0,0.0000(),1000,1700
Croaker,165,CO0249,11733,01/02/2021,2 Kg,1300,0,0.0000(),1300,2600
